currTime,acc1,acc2,Roll,Pitch,Yaw
275,299,326,-3.96,0.78,-0.08
275,299,326,-3.96,0.78,-0.08
276,299,326,-3.96,0.78,-0.08
276,299,326,-3.96,0.78,-0.08
277,299,326,-3.96,0.78,-0.08
277,299,326,-3.96,0.78,-0.08
278,299,326,-3.96,0.78,-0.08
278,299,326,-3.96,0.78,-0.08
279,299,326,-3.96,0.78,-0.08
284,299,326,-3.96,0.78,-0.08
284,299,326,-3.96,0.78,-0.08
285,299,326,-3.96,0.78,-0.08
285,299,326,-3.96,0.78,-0.08
286,299,326,-3.96,0.78,-0.08
287,299,326,-3.96,0.78,-0.08
287,299,326,-3.96,0.78,-0.08
288,299,326,-3.96,0.78,-0.08
288,299,326,-3.96,0.78,-0.08
289,299,326,-3.96,0.78,-0.08
289,299,326,-3.96,0.78,-0.08
290,299,326,-3.96,0.78,-0.08
290,299,326,-3.96,0.78,-0.08
295,299,326,-3.96,0.78,-0.08
296,299,326,-3.96,0.78,-0.08
296,299,326,-3.96,0.78,-0.08
297,299,326,-3.96,0.78,-0.08
298,299,326,-3.96,0.78,-0.08
298,299,326,-3.96,0.78,-0.08
299,299,326,-3.96,0.78,-0.08
299,299,326,-3.96,0.78,-0.08
300,299,326,-3.96,0.78,-0.08
300,299,326,-3.96,0.78,-0.08
301,299,326,-3.96,0.78,-0.08
301,299,326,-3.96,0.78,-0.08
302,299,326,-3.96,0.78,-0.08
307,299,326,-3.96,0.78,-0.08
308,299,326,-3.96,0.78,-0.08
308,299,326,-3.96,0.78,-0.08
309,299,326,-3.96,0.78,-0.08
309,299,326,-3.96,0.78,-0.08
310,299,326,-3.96,0.78,-0.08
310,299,326,-3.96,0.78,-0.08
311,299,326,-3.96,0.78,-0.08
311,299,326,-3.96,0.78,-0.08
312,299,326,-3.96,0.78,-0.08
312,299,326,-3.96,0.78,-0.08
313,299,326,-3.96,0.78,-0.08
318,299,326,-3.96,0.78,-0.08
319,299,326,-3.96,0.78,-0.08
319,299,326,-3.96,0.78,-0.08
320,299,326,-3.96,0.78,-0.08
320,299,326,-3.96,0.78,-0.08
321,299,326,-3.96,0.78,-0.08
321,299,326,-3.96,0.78,-0.08
322,299,326,-3.96,0.78,-0.08
322,299,326,-3.96,0.78,-0.08
323,299,326,-3.96,0.78,-0.08
324,299,326,-3.96,0.78,-0.08
324,299,326,-3.96,0.78,-0.08
325,299,326,-3.96,0.78,-0.08
330,299,326,-3.96,0.78,-0.08
330,299,326,-3.96,0.78,-0.08
331,299,326,-3.96,0.78,-0.08
331,299,326,-3.96,0.78,-0.08
332,299,326,-3.96,0.78,-0.08
332,299,326,-3.96,0.78,-0.08
333,299,326,-3.96,0.78,-0.08
333,299,326,-3.96,0.78,-0.08
334,299,326,-3.96,0.78,-0.08
335,299,326,-3.96,0.78,-0.08
335,299,326,-3.96,0.78,-0.08
336,299,326,-3.96,0.78,-0.08
336,299,326,-3.96,0.78,-0.08
341,299,326,-3.96,0.78,-0.08
342,299,326,-3.96,0.78,-0.08
342,299,326,-3.96,0.78,-0.08
343,299,326,-3.96,0.78,-0.08
343,299,326,-3.96,0.78,-0.08
344,299,326,-3.96,0.78,-0.08
345,299,326,-3.96,0.78,-0.08
345,299,326,-3.96,0.78,-0.08
346,299,326,-3.96,0.78,-0.08
346,299,326,-3.96,0.78,-0.08
347,299,326,-3.96,0.78,-0.08
347,299,326,-3.96,0.78,-0.08
348,299,326,-3.96,0.78,-0.08
353,299,326,-3.96,0.78,-0.08
353,299,326,-3.96,0.78,-0.08
354,299,326,-3.96,0.78,-0.08
355,299,326,-3.96,0.78,-0.08
355,299,326,-3.96,0.78,-0.08
356,299,326,-3.96,0.78,-0.08
356,299,326,-3.96,0.78,-0.08
