En Angle,IMU Angle,Diffrence
15.52,-14.54,30.06
15.52,-13.82,29.34
14.11,-13.82,27.93
12.7,-13.82,26.52
11.29,-12.794,24.084
11.29,-12.74,24.03
10.58,-12.74,23.32
9.88,-12.763,22.643
9.17,-13.2,22.37
8.47,-13.2,21.67
7.05,-13.27,20.32
7.05,-14.6,21.65
4.94,-14.6,19.54
4.23,-14.6,18.83
4.23,-14.309,18.539
4.23,-13.63,17.86
4.23,-13.63,17.86
4.23,-13.1575,17.3875
4.94,-12.28,17.22
6.35,-12.28,18.63
6.35,-12.28,18.63
7.05,-12.943,19.993
7.05,-13.3,20.35
6.35,-13.3,19.65
6.35,-13.52,19.87
6.35,-13.74,20.09
6.35,-13.74,20.09
6.35,-13.74,20.09
6.35,-13.2045,19.5545
6.35,-13.11,19.46
6.35,-13.11,19.46
6.35,-13.407,19.757
6.35,-13.44,19.79
6.35,-13.44,19.79
6.35,-13.59,19.94
6.35,-14.04,20.39
6.35,-14.04,20.39
6.35,-14.04,20.39
6.35,-12.9475,19.2975
7.05,-12.89,19.94
6.35,-12.89,19.24
6.35,-13.5515,19.9015
6.35,-14.78,21.13
6.35,-14.78,21.13
6.35,-14.78,21.13
6.35,-12.84,19.19
6.35,-12.84,19.19
6.35,-12.84,19.19
6.35,-13.183,19.533
6.35,-13.82,20.17
6.35,-13.82,20.17
7.05,-13.82,20.87
7.05,-12.32,19.37
7.05,-12.32,19.37
7.05,-12.32,19.37
7.05,-12.272,19.322
7.76,-12.2,19.96
7.76,-12.2,19.96
7.05,-11.466,18.516
7.05,-8.53,15.58
7.05,-8.53,15.58
7.05,-8.53,15.58
7.76,-8.884,16.644
7.76,-9.12,16.88
7.76,-9.12,16.88
7.76,-9.522,17.282
7.05,-13.14,20.19
7.05,-13.14,20.19
7.05,-13.14,20.19
7.76,-12.92,20.68
7.76,-12.92,20.68
7.76,-12.92,20.68
7.76,-12.276,20.036
7.76,-12,19.76
7.76,-12,19.76
7.05,-12.1855,19.2355
7.05,-12.53,19.58
7.05,-12.53,19.58
7.05,-12.53,19.58
7.05,-12.57,19.62
7.05,-12.58,19.63
7.05,-12.58,19.63
7.05,-12.562,19.612
7.05,-12.52,19.57
7.05,-12.52,19.57
7.05,-12.52,19.57
7.05,-12.7375,19.7875
7.05,-12.81,19.86
7.76,-12.81,20.57
7.76,-12.837,20.597
7.76,-12.9,20.66
7.76,-12.9,20.66
7.76,-12.9,20.66
7.76,-13.3355,21.0955
7.76,-13.57,21.33
7.76,-13.57,21.33
7.76,-13.2935,21.0535
7.76,-12.78,20.54
7.76,-12.78,20.54
7.76,-12.78,20.54
7.76,-12.774,20.534
7.76,-12.77,20.53
7.76,-12.77,20.53
7.76,-13.463,21.223
7.76,-13.54,21.3
7.76,-13.54,21.3
7.05,-13.268,20.318
7.05,-12.18,19.23
7.05,-12.18,19.23
7.05,-12.18,19.23
7.05,-13.8715,20.9215
7.05,-14.17,21.22
7.05,-14.17,21.22
7.05,-13.9275,20.9775
7.05,-13.2,20.25
7.05,-13.2,20.25
7.05,-13.227,20.277
7.76,-13.47,21.23
7.76,-13.47,21.23
7.76,-13.47,21.23
7.76,-13.488,21.248
7.76,-13.53,21.29
7.76,-13.53,21.29
7.76,-13.443,21.203
7.76,-12.95,20.71
7.05,-12.95,20
7.05,-12.95,20
7.05,-13.055,20.105
7.05,-13.37,20.42
7.05,-13.37,20.42
7.05,-13.304,20.354
7.05,-12.71,19.76
7.05,-12.71,19.76
7.76,-12.71,20.47
7.05,-12.749,19.799
7.05,-12.84,19.89
7.76,-12.84,20.6
7.76,-12.9325,20.6925
7.76,-13.21,20.97
7.76,-13.21,20.97
7.76,-13.21,20.97
7.76,-13.678,21.438
7.76,-14.25,22.01
7.76,-14.25,22.01
7.05,-13.9365,20.9865
7.05,-13.68,20.73
7.05,-13.68,20.73
7.05,-13.68,20.73
7.05,-14.408,21.458
7.05,-14.72,21.77
7.76,-14.72,22.48
7.05,-14.6,21.65
7.05,-14.56,21.61
7.05,-14.56,21.61
7.76,-14.56,22.32
7.05,-14.512,21.562
7.05,-14.5,21.55
7.76,-14.5,22.26
7.76,-14.756,22.516
7.76,-14.82,22.58
7.76,-14.82,22.58
7.76,-14.82,22.58
7.76,-15.029,22.789
7.76,-15.04,22.8
7.76,-15.04,22.8
7.76,-14.96,22.72
8.47,-14.96,23.43
8.47,-14.96,23.43
8.47,-14.96,23.43
8.47,-14.5605,23.0305
8.47,-14.49,22.96
8.47,-14.49,22.96
8.47,-14.847,23.317
8.47,-14.91,23.38
8.47,-14.91,23.38
8.47,-14.8395,23.3095
8.47,-14.44,22.91
8.47,-14.112,22.582
8.47,-13.62,22.09
8.47,-13.62,22.09
9.17,-13.62,22.79
8.47,-13.755,22.225
9.17,-14.16,23.33
9.17,-14.16,23.33
9.17,-13.544,22.714
9.88,-12.62,22.5
9.88,-12.62,22.5
9.88,-12.62,22.5
10.58,-12.5925,23.1725
10.58,-12.57,23.15
11.29,-12.57,23.86
12,-11.7705,23.7705
12.7,-11.34,24.04
12.7,-11.34,24.04
12.7,-11.34,24.04
12,-11.703,23.703
12,-12,24
11.29,-12,23.29
11.29,-10.365,21.655
10.58,-9.82,20.4
10.58,-9.82,20.4
9.88,-9.82,19.7
9.17,-9.03,18.2
9.17,-8.24,17.41
8.47,-8.24,16.71
8.47,-7.535,16.005
7.76,-7.3,15.06
7.05,-7.3,14.35
7.05,-7.3,14.35
6.35,-6.3185,12.6685
6.35,-5.79,12.14
6.35,-5.514,11.864
6.35,-4.41,10.76
6.35,-4.41,10.76
6.35,-4.41,10.76
7.05,-4.41,11.46
7.05,-2.241,9.291
7.05,-2,9.05
7.05,-1.4225,8.4725
6.35,0.31,6.04
7.05,0.31,6.74
7.05,0.31,6.74
7.05,0.31,6.74
7.05,0.463,6.587
7.05,0.49,6.56
7.05,0.988,6.062
7.05,3.81,3.24
7.05,3.81,3.24
7.05,3.81,3.24
7.05,3.81,3.24
7.76,5.434,2.326
8.47,6.13,2.34
7.76,6.3655,1.3945
8.47,7.7,0.77
9.17,7.7,1.47
9.88,7.7,2.18
11.29,7.7,3.59
11.29,13.472,-2.182
12.7,16.58,-3.88
13.41,16.58,-3.17
14.11,17.97,-3.86
14.82,17.97,-3.15
15.52,17.97,-2.45
16.23,17.97,-1.74
16.94,20.9205,-3.9805
17.64,26.4,-8.76
19.05,26.4,-7.35
19.05,27.52,-8.47
20.47,27.8,-7.33
20.47,27.8,-7.33
21.17,27.8,-6.63
21.88,31.08,-9.2
21.88,34.36,-12.48
22.58,34.36,-11.78
22.58,32.48,-9.9
23.29,32.48,-9.19
24,32.48,-8.48
25.41,32.48,-7.07
26.11,34.412,-8.302
27.52,35.7,-8.18
28.23,35.635,-7.405
28.94,34.4,-5.46
29.64,34.4,-4.76
29.64,34.4,-4.76
29.64,34.4,-4.76
30.35,38.516,-8.166
31.05,44.69,-13.64
31.05,44.69,-13.64
31.76,44.5455,-12.7855
32.47,44.52,-12.05
33.17,44.52,-11.35
33.88,44.52,-10.64
34.58,46.0845,-11.5045
35.29,54.95,-19.66
36,54.95,-18.95
36,54.986,-18.986
36.7,55.01,-18.31
37.41,55.01,-17.6
38.11,55.01,-16.9
38.82,57.138,-18.318
40.23,61.09,-20.86
40.94,61.09,-20.15
42.35,61.042,-18.692
44.47,61.03,-16.56
45.88,61.03,-15.15
47.29,61.03,-13.74
48,61.413,-13.413
48.7,64.86,-16.16
50.11,64.86,-14.75
50.82,64.8405,-14.0205
52.23,64.83,-12.6
53.64,64.83,-11.19
55.76,64.83,-9.07
